301269 华大九天 日线 不复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2022/07/29	69.05	75.50	68.06	75.00	50798556	3672526848.00
2022/08/01	73.90	76.01	71.01	76.01	27599952	2032983424.00
2022/08/02	73.99	80.11	72.40	79.70	25538052	1951572096.00
2022/08/03	78.94	100.46	77.61	92.02	29398936	2585294848.00
2022/08/04	93.00	108.38	92.90	105.00	23401536	2331802624.00
2022/08/05	106.29	126.00	106.10	126.00	14250143	1650455552.00
2022/08/08	140.01	145.98	117.01	138.00	31166580	4085220608.00
2022/08/09	128.01	132.77	124.00	129.98	26607815	3408740352.00
2022/08/10	125.00	134.40	123.03	123.05	24812076	3195504896.00
2022/08/11	122.30	127.99	118.20	119.90	21672664	2665371904.00
2022/08/12	117.21	121.79	111.66	114.87	20540665	2402492672.00
2022/08/15	121.00	133.50	120.00	121.80	28002389	3521603840.00
2022/08/16	116.00	126.43	114.68	125.02	20921256	2535265536.00
2022/08/17	124.00	125.00	117.00	117.05	18883257	2260468224.00
2022/08/18	115.23	126.75	115.23	122.02	20334929	2464674304.00
2022/08/19	120.08	124.99	112.22	113.19	19922648	2334046464.00
2022/08/22	109.00	113.78	107.39	108.89	13476494	1478813312.00
2022/08/23	109.46	113.94	107.70	110.61	11400704	1261670656.00
2022/08/24	110.86	115.48	110.10	111.11	14232007	1601824896.00
2022/08/25	111.70	111.80	96.66	97.55	18210174	1836504576.00
2022/08/26	98.12	99.12	93.88	94.04	11959596	1152864256.00
2022/08/29	92.00	99.00	91.70	96.80	9985449	967452928.00
2022/08/30	96.80	99.69	94.84	95.11	7677394	745046720.00
2022/08/31	95.02	100.30	95.01	98.02	13304306	1307190912.00
2022/09/01	99.00	102.87	94.98	95.20	11240595	1107985792.00
2022/09/02	95.00	99.48	94.10	98.40	10554714	1031732352.00
2022/09/05	96.54	98.27	92.60	95.75	9806985	935262144.00
2022/09/06	95.69	97.30	93.80	95.84	7074466	673811584.00
2022/09/07	98.00	106.46	97.94	104.44	17519298	1792757632.00
2022/09/08	102.00	104.30	101.01	102.20	9496029	974285888.00
2022/09/09	103.50	107.50	101.50	106.50	11090923	1164973952.00
2022/09/13	106.00	112.58	103.81	104.23	12794124	1388791424.00
2022/09/14	102.50	111.30	102.40	109.94	12985400	1401552896.00
2022/09/15	108.70	111.17	106.99	111.17	11980414	1305064192.00
2022/09/16	109.78	118.40	109.00	115.39	15890477	1824340352.00
2022/09/19	114.93	117.88	105.18	105.30	14379341	1598605952.00
2022/09/20	105.00	107.56	102.88	106.12	9490940	1000825920.00
2022/09/21	104.00	105.61	99.12	101.38	10139363	1031523264.00
2022/09/22	101.50	106.80	100.74	104.51	9636782	1008780864.00
2022/09/23	103.79	105.48	101.30	101.33	7243930	744881664.00
2022/09/26	99.55	101.97	98.11	98.14	7544089	749440832.00
2022/09/27	98.00	102.97	97.96	102.05	9332528	943288896.00
2022/09/28	102.06	103.90	98.93	100.85	8826143	897212864.00
2022/09/29	102.15	102.83	98.05	98.85	7690500	765376896.00
2022/09/30	99.20	99.88	90.01	90.30	9581339	895186240.00
2022/10/10	89.99	92.60	87.66	89.02	6626744	595653312.00
2022/10/11	89.02	92.50	86.77	91.65	7299808	661696704.00
2022/10/12	90.88	96.98	88.90	96.94	9825645	926538752.00
2022/10/13	96.00	100.75	95.27	99.19	10060443	993281920.00
2022/10/14	99.15	100.48	96.80	99.10	8271790	815750528.00
2022/10/17	97.80	103.45	97.25	102.98	8504440	863034880.00
2022/10/18	104.00	104.34	99.31	100.00	6335577	637065088.00
2022/10/19	99.00	101.40	97.63	98.50	5005407	497953536.00
2022/10/20	97.21	107.93	97.00	104.50	11708800	1210300160.00
2022/10/21	102.41	103.80	100.19	102.97	6924531	706326464.00
2022/10/24	102.00	106.00	101.61	101.91	7667249	797637248.00
2022/10/25	101.20	105.59	100.03	102.17	6809185	704718016.00
2022/10/26	102.32	107.77	99.66	107.06	10313032	1081038848.00
2022/10/27	106.09	110.00	104.86	106.62	9600165	1030647744.00
2022/10/28	104.91	112.38	104.90	108.08	10051095	1104124672.00
2022/10/31	107.00	115.82	106.82	113.78	10049485	1131559808.00
